transaction_id,product_category,sub_category,brand_tier,customer_segment,customer_region,channel,day_of_week,season,payment_method,device_type,base_price,competitor_price,discount_pct,units_sold,marketing_spend,customer_rating,review_count,return_rate,inventory_days,page_views,shipping_cost,wishlist_adds,repeat_purchase,is_featured,flash_sale,revenue_usd
TXN-0000027,Food & Grocery,Frozen,Budget,Churned,Europe,Organic Search,Thursday,Spring,Credit Card,Mobile,15.86,8.59,47.5,1,309.53,4.9,25.0,0.026,66,378.0,9.82,4.0,0,0,0,40.6
TXN-0000028,Toys,Action Figures,Budget,Returning,Europe,Email,Thursday,Winter,Credit Card,Mobile,36.41,33.92,21.2,11,0.0,4.0,34.0,,40,885.0,5.88,4.0,0,1,0,316.27
TXN-0000029,Beauty,Haircare,Budget,Returning,North America,Referral,Tuesday,Spring,Credit Card,Mobile,19.36,10.2,46.2,9,0.0,4.6,0.0,0.211,57,614.0,8.08,1.0,0,0,0,107.17
TXN-0000030,Home & Garden,Furniture,Premium,Churned,Europe,Email,Tuesday,Summer,Debit Card,Mobile,265.06,225.59,0.0,3,0.0,4.0,26.0,0.176,43,503.0,11.3,4.0,0,0,0,806.52
TXN-0000031,Automotive,Tools,Premium,New,Asia Pacific,Direct,Thursday,Winter,Crypto,Desktop,286.17,330.81,1.0,8,105.03,4.7,9.0,,34,144.0,18.89,3.0,0,0,0,2253.61
TXN-0000032,Fashion,Sportswear,Budget,VIP,Asia Pacific,Email,Thursday,Summer,Credit Card,Mobile,29.31,36.04,0.0,3,143.54,4.4,22.0,0.021,45,186.0,11.93,1.0,1,0,0,101.98
TXN-0000033,Sports,Fitness Equipment,Mid-Range,Loyal,North America,Direct,Sunday,Fall,Debit Card,Mobile,61.89,63.59,14.3,13,,,15.0,,38,291.0,8.9,4.0,1,0,1,838.32
TXN-0000034,Beauty,Personal Care,Budget,Loyal,North America,Paid Search,Thursday,Fall,Bank Transfer,Mobile,21.91,18.14,1.9,8,0.0,,72.0,0.044,65,765.0,6.82,3.0,1,0,0,196.82
TXN-0000035,Fashion,Footwear,Budget,Returning,Asia Pacific,Organic Search,Thursday,Summer,Crypto,Desktop,23.43,20.45,0.0,9,0.0,,,0.081,70,306.0,13.82,3.0,0,1,0,186.45
TXN-0000036,Sports,Yoga,Budget,VIP,Europe,Marketplace,Sunday,Fall,Credit Card,Mobile,34.26,29.1,1.0,12,121.13,4.3,5.0,0.031,16,123.0,10.27,5.0,1,1,0,402.48
TXN-0000037,Sports,Cycling,Premium,New,Asia Pacific,Organic Search,Thursday,Fall,Credit Card,Mobile,192.46,169.98,10.7,10,0.0,4.6,0.0,0.166,57,24.0,19.43,1.0,0,0,0,1689.02
TXN-0000038,Beauty,Fragrance,Mid-Range,Churned,Latin America,Organic Search,Sunday,Fall,PayPal,Tablet,53.3,54.35,11.0,10,107.58,4.4,0.0,0.041,17,61.0,30.11,3.0,0,0,1,527.87
TXN-0000039,Fashion,Footwear,Budget,Loyal,Europe,Marketplace,Friday,Winter,PayPal,Mobile,34.1,,0.0,2,0.0,3.8,8.0,0.117,25,200.0,8.16,6.0,1,0,0,69.75
TXN-0000040,Automotive,Performance,Mid-Range,Returning,Latin America,Referral,Sunday,Spring,Bank Transfer,Mobile,119.43,148.12,2.4,3,0.0,3.2,29.0,0.259,27,280.0,17.76,5.0,0,0,1,637.91
TXN-0000041,Toys,Action Figures,Budget,Returning,Middle East,Referral,Thursday,Summer,Bank Transfer,Mobile,18.08,18.11,4.5,7,0.0,4.3,2.0,0.028,5,190.0,30.06,4.0,0,0,1,117.11
TXN-0000042,Food & Grocery,Pantry,Mid-Range,Loyal,North America,Affiliate,Sunday,Winter,Debit Card,Mobile,36.69,37.65,10.1,11,336.33,4.0,6.0,0.012,11,57.0,11.56,2.0,1,0,0,405.82
TXN-0000043,Electronics,Cameras,Premium,Returning,Middle East,Paid Search,Saturday,Winter,Bank Transfer,Mobile,572.03,570.23,23.0,6,0.0,4.0,45.0,0.416,20,768.0,25.24,2.0,0,1,0,2634.15
TXN-0000044,Toys,Educational,Luxury,Loyal,North America,Organic Search,Friday,Winter,Bank Transfer,Desktop,245.12,242.45,9.6,6,0.0,4.7,8.0,0.293,47,125.0,5.73,1.0,1,0,0,1332.23
TXN-0000045,Toys,Board Games,Budget,New,Middle East,Organic Search,Sunday,Winter,PayPal,Desktop,16.55,16.75,0.0,1,251.15,4.3,1.0,0.049,5,26.0,23.37,3.0,0,0,0,64.26
TXN-0000046,Fashion,Men Clothing,Premium,Returning,Asia Pacific,Organic Search,Saturday,Winter,Bank Transfer,Tablet,134.14,118.51,40.2,6,0.0,4.2,109.0,0.191,21,994.0,11.97,4.0,0,0,0,479.49
TXN-0000047,Sports,Team Sports,Mid-Range,Returning,Africa,Paid Search,Friday,Winter,Debit Card,Desktop,78.28,,13.3,12,156.41,4.2,0.0,0.2,53,213.0,39.58,4.0,0,0,0,714.46
TXN-0000048,Toys,Board Games,Budget,Returning,North America,Paid Search,Wednesday,Winter,Buy Now Pay Later,Desktop,10.14,13.06,0.0,10,175.3,4.4,20.0,0.139,35,182.0,7.84,3.0,0,0,0,139.3
TXN-0000049,Sports,Outdoor,Mid-Range,New,Europe,Affiliate,Sunday,Winter,PayPal,Desktop,62.75,91.25,0.0,2,132.01,4.9,2.0,0.077,59,49.0,11.75,2.0,0,0,0,138.83
TXN-0000050,Home & Garden,Decor,Budget,Loyal,North America,Email,Tuesday,Spring,Debit Card,Desktop,44.42,46.31,1.0,1,0.0,4.6,55.0,0.24,33,542.0,8.54,1.0,1,0,0,91.06
TXN-0000051,Fashion,Men Clothing,Mid-Range,VIP,Europe,Organic Search,Tuesday,Fall,PayPal,Desktop,69.69,,0.0,1,0.0,3.7,17.0,0.178,25,153.0,18.58,5.0,1,1,0,76.33
TXN-0000052,Fashion,Bags,Premium,Loyal,Latin America,Social Media,Thursday,Summer,PayPal,Desktop,307.77,343.88,1.0,5,0.0,4.3,21.0,0.067,35,460.0,27.28,2.0,1,1,0,1517.42
TXN-0000053,Home & Garden,Lighting,Mid-Range,New,Asia Pacific,Direct,Wednesday,Spring,Debit Card,Mobile,118.13,,0.0,5,0.0,4.1,,0.077,81,329.0,12.15,5.0,0,0,0,604.49
TXN-0000054,Sports,Cycling,Mid-Range,New,North America,Marketplace,Thursday,Summer,Credit Card,Mobile,60.81,55.28,0.0,7,76.08,3.7,21.0,0.006,17,759.0,12.61,3.0,0,0,1,572.21
TXN-0000055,Electronics,Gaming,Budget,Returning,North America,Marketplace,Thursday,Winter,Debit Card,Mobile,156.47,156.25,31.3,4,0.0,,16.0,0.14,37,185.0,8.64,3.0,0,0,0,427.92
TXN-0000056,Home & Garden,Lighting,Premium,Returning,Latin America,Social Media,Monday,Spring,Bank Transfer,Mobile,189.91,174.32,13.8,6,,4.2,41.0,0.1,67,596.0,11.91,2.0,0,1,0,1015.44
TXN-0000057,Beauty,Skincare,Mid-Range,VIP,Latin America,Organic Search,Saturday,Winter,Credit Card,Mobile,70.9,82.35,39.6,1,810.82,3.3,35.0,0.336,38,,15.65,2.0,1,0,0,136.32
TXN-0000058,Fashion,Bags,Mid-Range,Returning,North America,Direct,Saturday,Fall,Debit Card,Desktop,58.86,62.49,5.1,10,0.0,2.9,1.0,0.007,27,20.0,14.81,3.0,0,0,1,672.77
TXN-0000059,Home & Garden,Furniture,Budget,New,North America,Affiliate,Friday,Winter,Debit Card,Mobile,63.69,68.46,18.4,18,0.0,4.3,18.0,0.017,13,361.0,7.63,2.0,0,0,0,922.2
TXN-0000060,Electronics,Smart Home,Budget,Loyal,Latin America,Direct,Thursday,Winter,Bank Transfer,Desktop,125.45,128.0,0.0,7,473.95,4.3,22.0,,10,248.0,11.12,2.0,1,0,1,1259.58
TXN-0000061,Beauty,Skincare,Luxury,Churned,Asia Pacific,Organic Search,Monday,Spring,Debit Card,Mobile,181.06,,0.0,7,0.0,3.7,2.0,0.013,26,34.0,10.44,6.0,0,0,1,1736.89
TXN-0000062,Automotive,Car Care,Premium,VIP,North America,Marketplace,Saturday,Summer,PayPal,Mobile,134.56,144.03,0.0,7,0.0,3.9,25.0,0.015,32,466.0,11.27,3.0,1,0,0,948.22
TXN-0000063,Electronics,Smart Home,Mid-Range,Churned,South Asia,Organic Search,Friday,Spring,PayPal,Desktop,254.63,224.94,24.7,3,,3.9,17.0,0.269,29,519.0,13.05,7.0,0,0,1,1082.09
TXN-0000064,Sports,Team Sports,Mid-Range,Loyal,Latin America,Affiliate,Saturday,Winter,Bank Transfer,Mobile,73.29,,15.0,5,0.0,4.7,13.0,0.031,35,572.0,26.73,0.0,1,1,0,284.1
TXN-0000065,Electronics,Gaming,Mid-Range,VIP,Europe,Paid Search,Monday,Winter,Bank Transfer,Desktop,255.74,,70.0,3,215.31,4.2,41.0,0.113,9,330.0,24.31,7.0,1,0,0,244.81
TXN-0000066,Electronics,Smartphones,Luxury,Loyal,North America,Organic Search,Saturday,Fall,Debit Card,Desktop,1368.39,1615.54,40.5,4,0.0,3.4,,0.192,12,674.0,7.62,3.0,1,0,0,3270.95
TXN-0000067,Electronics,Tablets,Premium,New,Latin America,Organic Search,Wednesday,Winter,Credit Card,Tablet,492.28,,5.4,5,0.0,4.4,12.0,0.055,16,143.0,16.51,1.0,0,0,0,2313.78
TXN-0000068,Home & Garden,Furniture,Budget,Loyal,Asia Pacific,Organic Search,Sunday,Summer,Credit Card,Mobile,28.82,25.34,0.0,2,291.13,4.5,6.0,0.012,3,514.0,16.09,2.0,1,0,0,94.23
TXN-0000069,Home & Garden,Lighting,Mid-Range,New,Asia Pacific,Referral,Monday,Summer,Credit Card,Mobile,94.11,114.64,1.0,3,0.0,3.2,0.0,0.076,10,75.0,12.06,,0,0,1,513.68
TXN-0000070,Home & Garden,Storage,Premium,Churned,Asia Pacific,Paid Search,Saturday,Spring,Credit Card,Mobile,205.72,197.76,0.0,8,0.0,3.7,0.0,0.268,19,118.0,11.1,4.0,0,1,1,2148.17
TXN-0000071,Fashion,Women Clothing,Luxury,VIP,Europe,Organic Search,Thursday,Spring,Buy Now Pay Later,Desktop,212.53,270.76,5.6,2,,3.7,0.0,,19,96.0,7.05,2.0,1,0,0,417.19
TXN-0000072,Automotive,Interior,Budget,New,Europe,Organic Search,Saturday,Summer,Credit Card,Tablet,62.75,77.99,1.0,3,435.06,3.7,4.0,,25,205.0,16.63,,0,1,0,239.02
TXN-0000073,Food & Grocery,Supplements,Budget,Returning,Europe,Social Media,Thursday,Fall,Crypto,Mobile,11.75,12.59,0.0,4,80.0,4.4,24.0,0.01,40,209.0,10.54,2.0,0,0,1,105.81
TXN-0000074,Jewelry,Earrings,Luxury,New,Asia Pacific,Paid Search,Friday,Winter,PayPal,Mobile,2751.53,3160.22,0.0,23,0.0,3.8,67.0,0.071,63,,30.76,2.0,0,0,1,69988.76
TXN-0000075,Beauty,Makeup,Premium,Returning,North America,Paid Search,Wednesday,Spring,Debit Card,Tablet,78.8,92.14,24.2,1,318.51,4.2,59.0,0.127,13,542.0,10.54,2.0,0,1,1,261.49
TXN-0000076,Sports,Yoga,Luxury,Returning,Asia Pacific,Organic Search,Monday,Spring,Credit Card,Mobile,419.87,458.48,0.0,5,269.08,4.4,14.0,0.357,29,444.0,18.89,5.0,0,0,0,2103.88
TXN-0000077,Automotive,Interior,Premium,New,North America,Paid Search,Sunday,Winter,PayPal,Desktop,467.06,569.43,3.0,4,0.0,4.1,,0.042,49,138.0,7.38,2.0,0,0,0,1820.5
TXN-0000078,Fashion,Accessories,Premium,Returning,Asia Pacific,Social Media,Friday,Winter,Debit Card,Mobile,230.95,,22.6,4,36.3,4.1,0.0,0.403,20,19.0,14.02,3.0,0,1,0,714.18
TXN-0000079,Automotive,Tools,Budget,New,North America,Direct,Monday,Winter,Debit Card,Desktop,67.3,85.88,0.0,5,0.0,3.8,48.0,0.041,38,867.0,6.66,1.0,0,1,0,358.42
TXN-0000080,Beauty,Personal Care,Budget,Loyal,South Asia,Affiliate,Friday,Summer,Bank Transfer,Desktop,30.77,30.91,0.0,12,0.0,3.9,0.0,0.08,16,124.0,11.82,1.0,1,0,0,343.38
TXN-0000081,Toys,Outdoor Play,Budget,Returning,Europe,Affiliate,Thursday,Winter,Crypto,Mobile,19.2,25.11,0.0,13,,3.4,5.0,0.023,22,107.0,8.03,1.0,0,0,0,224.47
TXN-0000082,Books,Non-Fiction,Luxury,Returning,Europe,Affiliate,Friday,Spring,Credit Card,Mobile,181.12,169.32,0.0,5,197.37,3.3,,0.005,22,431.0,9.62,4.0,0,0,0,953.81
TXN-0000083,Electronics,Tablets,Budget,VIP,Asia Pacific,Organic Search,Saturday,Spring,Bank Transfer,Mobile,141.58,112.59,0.0,3,209.82,4.4,0.0,0.106,18,32.0,16.11,5.0,1,1,0,466.99
TXN-0000084,Home & Garden,Garden Tools,Budget,Returning,Asia Pacific,Organic Search,Tuesday,Winter,PayPal,Mobile,54.73,54.71,0.0,8,145.13,3.7,0.0,,18,184.0,19.37,4.0,0,0,0,459.94
TXN-0000085,Electronics,Cameras,Premium,Returning,Asia Pacific,Organic Search,Wednesday,Fall,Debit Card,Mobile,336.31,329.79,19.1,5,597.94,4.7,8.0,0.163,35,155.0,16.6,4.0,0,0,0,1417.82
TXN-0000086,Books,Children,Premium,Returning,North America,Social Media,Thursday,Fall,PayPal,Desktop,39.48,46.63,30.6,13,0.0,5.0,19.0,0.001,18,191.0,8.72,4.0,0,0,0,351.0
TXN-0000087,Fashion,Men Clothing,Mid-Range,New,Asia Pacific,Affiliate,Thursday,Summer,Buy Now Pay Later,Desktop,102.55,83.94,0.0,10,0.0,4.7,13.0,0.228,37,535.0,12.45,2.0,0,0,0,1044.1
TXN-0000088,Books,Academic,Mid-Range,Churned,South Asia,Email,Wednesday,Summer,Credit Card,Tablet,17.27,13.96,0.0,4,0.0,,25.0,0.042,20,231.0,15.55,3.0,0,0,0,85.34
TXN-0000089,Food & Grocery,Snacks,Premium,New,Europe,Organic Search,Friday,Winter,Credit Card,Desktop,57.22,52.42,8.8,1,14.72,4.4,0.0,0.18,21,32.0,14.08,5.0,0,1,0,60.4
TXN-0000090,Fashion,Footwear,Premium,Churned,North America,Social Media,Tuesday,Spring,PayPal,Mobile,125.24,105.61,0.0,1,0.0,3.4,31.0,0.027,36,300.0,11.28,4.0,0,1,0,156.34
TXN-0000091,Beauty,Haircare,Budget,VIP,North America,Paid Search,Thursday,Summer,Debit Card,Mobile,28.09,31.38,0.0,10,0.0,4.5,12.0,0.066,14,,4.53,4.0,1,0,0,282.03
TXN-0000092,Electronics,Tablets,Mid-Range,Loyal,Europe,Organic Search,Friday,Winter,Debit Card,Mobile,449.62,448.62,8.9,2,0.0,4.8,12.0,0.096,22,348.0,13.57,1.0,1,0,0,819.14
TXN-0000093,Beauty,Haircare,Budget,Returning,South Asia,Social Media,Monday,Winter,PayPal,Desktop,32.03,36.79,0.0,4,0.0,3.9,23.0,0.038,26,571.0,11.61,5.0,0,0,1,206.26
TXN-0000094,Automotive,Safety,Premium,Returning,Europe,Referral,Monday,Spring,Crypto,Desktop,324.53,392.95,0.0,6,0.0,4.7,17.0,0.166,51,338.0,12.93,2.0,0,0,0,1935.82
TXN-0000095,Electronics,Laptops,Luxury,VIP,North America,Referral,Wednesday,Summer,Debit Card,Mobile,1868.68,1693.96,37.5,3,329.48,4.1,7.0,0.354,60,334.0,7.01,3.0,1,0,0,3551.13
TXN-0000096,Sports,Yoga,Premium,New,North America,Paid Search,Monday,Winter,Credit Card,Desktop,115.56,109.74,10.9,2,207.42,4.6,10.0,0.142,18,290.0,3.88,2.0,0,0,0,241.59
TXN-0000097,Toys,Outdoor Play,Premium,New,North America,Organic Search,Monday,Winter,Credit Card,Desktop,50.77,46.91,1.7,11,0.0,4.8,0.0,0.037,14,190.0,8.26,3.0,0,0,0,548.41
TXN-0000098,Electronics,Headphones,Budget,Returning,Asia Pacific,Email,Saturday,Winter,Buy Now Pay Later,Mobile,137.54,,0.0,8,109.08,3.5,0.0,0.21,33,52.0,10.83,4.0,0,0,0,1089.09
TXN-0000099,Fashion,Bags,Luxury,Churned,North America,Direct,Tuesday,Summer,PayPal,Tablet,488.07,574.78,0.0,4,0.0,3.8,0.0,0.082,24,582.0,6.67,6.0,0,0,0,1961.18
TXN-0000100,Home & Garden,Lighting,Budget,Loyal,Asia Pacific,Organic Search,Monday,Spring,Credit Card,Mobile,57.97,49.04,0.0,2,0.0,4.4,15.0,0.065,18,278.0,10.69,6.0,1,0,1,281.8
TXN-0000101,Fashion,Footwear,Mid-Range,Churned,Europe,Direct,Friday,Summer,Crypto,Mobile,41.33,37.38,0.0,9,0.0,,14.0,0.064,10,171.0,20.1,4.0,0,1,0,367.35
TXN-0000102,Fashion,Women Clothing,Premium,New,Europe,Marketplace,Thursday,Fall,Credit Card,Desktop,110.7,85.01,29.2,1,0.0,4.3,0.0,0.317,19,230.0,10.65,3.0,0,1,0,127.48
TXN-0000103,Jewelry,Bracelets,Budget,New,Asia Pacific,Organic Search,Wednesday,Summer,Credit Card,Mobile,184.6,171.6,0.0,4,140.74,3.6,44.0,0.352,32,474.0,12.36,0.0,0,0,0,752.04
TXN-0000104,Books,Non-Fiction,Budget,Loyal,Europe,Affiliate,Sunday,Summer,PayPal,Mobile,10.86,5.11,16.0,7,125.98,4.3,65.0,0.035,18,826.0,8.72,2.0,1,0,0,68.74
TXN-0000105,Books,Non-Fiction,Budget,Loyal,Europe,Organic Search,Friday,Fall,Debit Card,Mobile,6.96,11.09,1.0,10,0.0,,,0.257,10,50.0,10.83,4.0,1,0,0,99.17
TXN-0000106,Fashion,Accessories,Budget,New,Middle East,Marketplace,Wednesday,Summer,Debit Card,Desktop,47.84,,0.0,4,,4.8,0.0,0.081,84,230.0,12.26,7.0,0,0,0,192.18
TXN-0000107,Automotive,Car Care,Budget,Returning,Middle East,Direct,Saturday,Summer,Credit Card,Mobile,101.59,95.15,2.2,3,0.0,3.6,34.0,0.026,24,424.0,27.59,1.0,0,1,1,557.03
TXN-0000108,Toys,Action Figures,Premium,Returning,Latin America,Paid Search,Sunday,Summer,Credit Card,Desktop,41.78,55.73,5.2,6,97.52,3.2,29.0,0.083,63,440.0,23.4,7.0,0,0,0,219.78
TXN-0000109,Books,Academic,Budget,New,North America,Email,Friday,Fall,Credit Card,Tablet,11.87,9.02,29.4,15,99.63,4.5,0.0,0.023,53,221.0,6.51,3.0,0,0,0,134.87
TXN-0000110,Home & Garden,Kitchen,Premium,Churned,Europe,Social Media,Sunday,Fall,Debit Card,Desktop,83.89,74.98,0.0,1,,4.1,16.0,0.075,37,173.0,11.04,1.0,0,0,1,306.97
TXN-0000111,Beauty,Haircare,Budget,VIP,South Asia,Email,Sunday,Spring,Credit Card,Mobile,18.33,15.84,5.7,8,0.0,4.0,0.0,0.22,36,543.0,9.73,,1,1,0,137.94
TXN-0000112,Fashion,Accessories,Budget,Loyal,Europe,Social Media,Friday,Winter,PayPal,Mobile,28.08,29.5,7.5,5,25.86,4.3,27.0,0.131,14,463.0,10.14,,1,1,1,200.08
TXN-0000113,Jewelry,Earrings,Premium,VIP,Latin America,Marketplace,Wednesday,Fall,PayPal,Mobile,529.82,519.67,8.1,3,0.0,4.3,,0.041,59,25.0,15.17,6.0,1,1,1,2722.76
TXN-0000114,Fashion,Accessories,Budget,Loyal,Asia Pacific,Organic Search,Sunday,Spring,Credit Card,Desktop,26.51,24.11,0.0,1,0.0,4.0,34.0,0.017,52,621.0,14.81,1.0,1,0,0,71.56
TXN-0000115,Electronics,Tablets,Mid-Range,New,Middle East,Paid Search,Monday,Spring,Debit Card,Mobile,237.64,215.06,0.0,10,0.0,4.1,9.0,0.071,2,299.0,30.99,3.0,0,0,0,2320.59
TXN-0000116,Electronics,Headphones,Budget,Returning,North America,Organic Search,Wednesday,Winter,Credit Card,Mobile,164.66,177.27,28.0,4,0.0,3.7,23.0,0.343,70,533.0,5.62,4.0,0,0,1,806.81
TXN-0000117,Automotive,Interior,Mid-Range,VIP,Middle East,Referral,Thursday,Winter,Crypto,Mobile,114.96,138.55,15.5,1,59.46,4.8,7.0,0.202,5,366.0,35.18,1.0,1,1,0,112.04
TXN-0000118,Fashion,Women Clothing,Premium,Loyal,North America,Direct,Wednesday,Spring,Bank Transfer,Mobile,150.72,,0.0,1,42.88,3.7,25.0,0.185,42,408.0,10.01,,1,0,0,185.81
TXN-0000119,Toys,Action Figures,Premium,Loyal,North America,Email,Wednesday,Winter,Debit Card,Mobile,77.62,65.97,5.7,13,268.55,4.8,,0.125,29,447.0,10.09,1.0,1,0,0,970.03
TXN-0000120,Fashion,Sportswear,Premium,Returning,Asia Pacific,Email,Tuesday,Fall,Debit Card,Mobile,123.42,130.45,0.0,12,0.0,4.8,10.0,0.283,26,116.0,11.19,,0,0,0,1451.32
TXN-0000121,Books,Fiction,Mid-Range,Loyal,Europe,Paid Search,Monday,Spring,PayPal,Desktop,24.99,15.82,18.9,7,109.82,3.6,0.0,0.108,32,498.0,12.45,3.0,1,0,0,144.85
TXN-0000122,Fashion,Bags,Premium,New,Latin America,Paid Search,Wednesday,Fall,Debit Card,Desktop,68.07,69.71,7.5,29,0.0,3.8,5.0,0.121,35,108.0,19.04,1.0,0,0,0,1694.02
TXN-0000123,Fashion,Women Clothing,Budget,Loyal,Asia Pacific,Affiliate,Sunday,Fall,Credit Card,Mobile,30.95,38.28,22.5,1,0.0,4.0,7.0,0.337,2,277.0,17.77,4.0,1,0,0,61.38
TXN-0000124,Beauty,Makeup,Budget,VIP,Middle East,Direct,Thursday,Spring,Credit Card,Mobile,28.3,19.3,0.0,6,0.0,3.6,,0.081,30,161.0,21.9,3.0,1,0,0,161.76
