age,gender,education_level,city,company,job_role,industry_sector,employment_type,years_experience,annual_ctc,monthly_expenses,savings_balance,investments,loan_outstanding,emi_monthly,debt_to_income_ratio,credit_score,num_credit_cards,projects_completed,certifications,training_hours_yr,team_size_managed,remote_work_pct,overtime_hours_month,performance_score,promotion_eligible
32,Female,High School,Nashik,Sigmoid Analytics,Director of Engineering,Telecom,Remote,11,870703,31585,29709.0,7298.0,1140230.0,22804,0.3143,605,2,24,6,,17.0,75,35,2.73,0
53,Male,Master,Malegaon,BrowserStack,Mobile Developer,Banking,Full-time,32,2084825,67740,,10853.0,0.0,0,0.0,807,4,64,1,37.0,6.0,75,21,5.0,1
33,Male,Master,Bhopal,Genpact,IT Consultant,Startup,Hybrid,13,1030431,45879,36174.0,1063912.0,0.0,0,0.0,618,0,28,1,88.0,4.0,50,35,3.87,0
50,Non-binary,Bachelor,Agra,Cognizant,ETL Developer,HealthTech,Remote,30,1846609,49947,208611.0,569091.0,0.0,0,0.0,761,0,57,3,36.0,17.0,50,33,4.49,1
49,Female,Master,Jaipur,CRED,VP Engineering,Defense,Contract,25,1733432,77744,179436.0,60816.0,1169636.0,23392,0.1619,631,2,47,0,60.0,20.0,75,10,4.13,0
31,Male,Bachelor,Ajmer,Sigmoid Analytics,Business Analyst,Government,Hybrid,9,810298,26127,82433.0,7631.0,772741.0,15454,0.2289,498,1,23,1,40.0,22.0,50,32,2.83,0
48,Male,Master,Lucknow,Zoho,Senior Software Engineer,Telecom,Hybrid,28,1919933,76673,118335.0,107871.0,0.0,0,0.0,664,2,56,1,83.0,7.0,50,16,4.13,0
53,Female,Master,Bareilly,InMobi,Backend Developer,Telecom,Part-time,31,2003390,71198,82139.0,17982.0,1566565.0,31331,0.1877,749,3,67,1,34.0,5.0,25,22,4.61,0
55,Female,Bachelor,Coimbatore,Intellect Design,Product Manager,Consulting,Full-time,33,2185307,89668,126819.0,5840.0,0.0,0,0.0,696,1,63,1,48.0,18.0,50,25,4.33,0
44,Male,Master,Chandigarh,Groww,Senior Software Engineer,Defense,Hybrid,22,1699256,41411,17656.0,68446.0,1336080.0,26721,0.1887,718,1,41,2,81.0,19.0,25,4,4.28,0
49,Non-binary,Master,Kolkata,Datamatics,System Architect,Banking,Hybrid,25,1728599,44481,109056.0,,0.0,0,0.0,693,7,48,2,96.0,13.0,50,6,4.37,0
44,Male,Master,Dehradun,Zetwerk,Solutions Architect,Manufacturing,Hybrid,21,1439579,39027,105589.0,10928.0,1664164.0,33283,0.2774,742,4,42,1,110.0,10.0,0,7,4.13,0
27,Female,Master,Gorakhpur,EXL Service,System Architect,Banking,Hybrid,5,596569,20903,120290.0,6315.0,0.0,0,0.0,479,3,14,3,96.0,0.0,100,28,2.1,0
51,Male,Master,Tiruchirappalli,IBM India,ML Engineer,Banking,Remote,27,1851805,73849,1723825.0,12527.0,816614.0,16332,0.1058,787,1,56,2,89.0,,0,13,4.46,1
26,Female,PhD,Kanpur,TCS,BI Developer,Manufacturing,Hybrid,4,756566,29664,101253.0,34070.0,0.0,0,0.0,570,2,8,3,72.0,0.0,75,7,3.77,0
44,Male,Bachelor,Ajmer,Xoriant,DevOps Engineer,Manufacturing,Remote,22,1316482,31262,,1407.0,0.0,0,0.0,682,3,47,2,117.0,2.0,75,28,3.56,0
42,Female,Diploma,Kota,Zoho,Data Analyst,HealthTech,Full-time,18,1260210,49696,270370.0,,0.0,0,0.0,679,1,39,1,110.0,23.0,100,21,4.34,0
30,Male,Bachelor,Howrah,WNS Global,Technical Lead,Defense,Remote,9,825722,28425,156719.0,138459.0,908321.0,18166,0.264,519,2,15,2,13.0,12.0,75,18,2.44,0
40,Female,Bachelor,Ajmer,Sasken,BI Developer,Manufacturing,Hybrid,16,1194734,49150,62488.0,,454326.0,9086,0.0913,622,3,33,1,104.0,16.0,0,15,3.85,0
55,Female,PhD,Mangalore,L&T Infotech,Network Engineer,Banking,Remote,32,2236188,93935,52019.0,6587.0,396944.0,7938,0.0426,787,3,61,3,109.0,,25,11,5.0,1
48,Male,Diploma,Tiruchirappalli,Syntel India,Test Automation Engineer,Defense,Full-time,27,1637481,55458,26576.0,91857.0,0.0,0,0.0,741,1,56,1,66.0,4.0,50,1,4.51,0
32,Female,Master,Aligarh,Datamatics,ML Engineer,EdTech,Full-time,12,1100838,46561,314264.0,37149.0,1385052.0,27701,0.302,646,0,29,3,53.0,18.0,0,36,3.41,0
29,Male,Master,Nanded,Nucleus Software,Data Analyst,FinTech,Hybrid,8,854784,23796,91480.0,10595.0,0.0,0,0.0,508,2,18,1,17.0,7.0,75,9,3.63,0
52,Female,PhD,Indore,Chargebee,Frontend Developer,E-commerce,Full-time,31,2084505,94533,127362.0,38664.0,0.0,0,0.0,815,3,66,3,119.0,18.0,25,37,5.0,1
35,Non-binary,Master,Ujjain,Coda Global,Data Analyst,Consulting,Contract,14,1175191,29073,17645.0,93882.0,0.0,0,0.0,552,0,30,3,52.0,13.0,75,8,4.05,0
54,Male,Bachelor,Malegaon,WNS Global,DevOps Engineer,HealthTech,Full-time,30,1925914,46943,29771.0,4788.0,0.0,0,0.0,720,3,60,5,40.0,8.0,100,25,4.92,1
22,Female,Master,Nanded,Mphasis,Data Scientist,Telecom,Remote,0,353369,15117,88802.0,10665.0,,38499,1.3074,489,2,2,1,31.0,0.0,50,32,1.11,0
35,Male,Bachelor,Gorakhpur,IBM India,Security Analyst,E-commerce,Remote,14,1075915,36880,46620.0,82673.0,855201.0,17104,0.1908,542,3,33,2,97.0,12.0,0,13,3.06,0
44,Male,Bachelor,Asansol,Mindtree,System Architect,HealthTech,Full-time,23,1552788,37230,54928.0,2532.0,0.0,0,0.0,704,5,47,2,20.0,14.0,0,14,4.91,1
33,Female,High School,Bhilai,Kellton Tech,VP Engineering,Consulting,Full-time,11,1016663,32063,11771.0,1693.0,0.0,0,0.0,618,6,26,1,46.0,12.0,75,39,3.48,0
30,Female,Bachelor,Gwalior,Swiggy,System Architect,SaaS,Contract,9,898246,34369,17629.0,42181.0,1749386.0,34987,0.4674,583,4,17,4,72.0,6.0,75,4,2.19,0
35,Male,Master,Aligarh,Zensar Technologies,Frontend Developer,Defense,Contract,12,980199,44835,24751.0,5494.0,1487856.0,29757,0.3643,575,2,25,3,106.0,20.0,100,34,3.81,0
51,Male,PhD,Solapur,Coforge,Network Engineer,Startup,Remote,28,2038434,86852,12903.0,442572.0,0.0,0,0.0,793,4,55,1,118.0,,0,10,4.83,1
44,Male,Master,Akola,Coforge,QA Engineer,Manufacturing,Hybrid,22,1554127,64422,17164.0,65479.0,1457288.0,29145,0.225,733,1,46,1,69.0,10.0,25,36,4.47,0
23,Female,Bachelor,Jalandhar,Cyient,ETL Developer,Consulting,Contract,3,543475,13815,53110.0,25105.0,679564.0,13591,0.3001,517,4,10,0,19.0,,50,0,2.66,0
30,Male,Master,Amritsar,GlobalLogic,Lead Engineer,Startup,Remote,8,847769,32944,145569.0,413877.0,303299.0,6065,0.0858,494,3,15,3,118.0,22.0,50,12,2.84,0
23,Male,Bachelor,Rajkot,Apexon,Mobile Developer,EdTech,Full-time,2,527188,20841,33803.0,105019.0,,0,0.0,507,3,6,0,,0.0,100,11,3.09,0
55,Male,High School,Guwahati,PhonePe,Engineering Manager,Defense,Full-time,33,2108174,84248,483666.0,3567.0,0.0,0,0.0,826,5,64,2,6.0,4.0,75,4,5.0,1
22,Male,Bachelor,Hubballi,Coforge,QA Engineer,Banking,Full-time,0,252135,10505,141567.0,4570.0,248402.0,4968,0.2364,509,4,0,2,51.0,0.0,75,13,2.74,0
34,Male,Master,Dhanbad,CleverTap,Director of Engineering,E-commerce,Full-time,13,1066846,28448,245089.0,4947.0,0.0,0,0.0,647,5,29,1,30.0,7.0,75,33,3.81,0
29,Male,Bachelor,Kolkata,Cybage,Mobile Developer,Telecom,Full-time,7,522756,15963,254498.0,7039.0,0.0,0,0.0,542,4,16,2,96.0,0.0,25,35,3.51,0
33,Male,Diploma,Siliguri,PhonePe,Mobile Developer,EdTech,Hybrid,9,796824,20353,97042.0,111701.0,0.0,0,0.0,588,3,23,1,2.0,3.0,0,17,3.35,0
49,Female,PhD,Rajkot,Srijan Technologies,Project Manager,Manufacturing,Remote,26,1812512,80759,30311.0,1485.0,880488.0,17609,0.1166,633,5,57,2,56.0,22.0,50,20,4.01,0
35,Female,Bachelor,Meerut,Mastek,Lead Engineer,Banking,Contract,11,882677,24343,106806.0,11395.0,0.0,0,0.0,655,2,22,2,69.0,23.0,25,6,3.24,0
24,Male,Master,Chandigarh,Cybage,AI Researcher,FinTech,Full-time,2,511267,21504,140066.0,34941.0,867688.0,17353,0.4073,537,3,9,2,56.0,0.0,25,0,2.03,0
45,Female,Bachelor,Bhiwandi,Chargebee,QA Engineer,E-commerce,Full-time,21,1467305,38520,270261.0,15916.0,0.0,0,0.0,612,6,43,4,103.0,24.0,50,27,4.12,0
42,Male,Diploma,Jaipur,Postman,ML Engineer,Manufacturing,Contract,21,1315568,51069,18676.0,10161.0,658009.0,13160,0.12,617,3,47,3,55.0,,50,29,3.99,0
51,Male,Master,Hyderabad,Mphasis,Scrum Master,EdTech,Full-time,30,2019405,56094,25463.0,8684.0,953427.0,19068,0.1133,669,4,65,2,99.0,,50,27,3.52,0
44,Female,Bachelor,Guwahati,Genpact,Test Automation Engineer,EdTech,Hybrid,22,1424012,34664,31664.0,8744.0,144564.0,2891,0.0244,633,2,46,2,39.0,15.0,100,7,3.63,0
45,Female,Master,Vadodara,Sasken,Database Administrator,HealthTech,Full-time,24,1799455,50008,25923.0,58362.0,0.0,0,0.0,648,6,46,2,93.0,4.0,75,21,4.47,0
25,Non-binary,Master,Saharanpur,Mphasis,ETL Developer,Telecom,Remote,3,756724,28953,378690.0,13192.0,945783.0,18915,0.3,565,4,11,2,23.0,0.0,25,18,2.69,0
25,Female,PhD,Solapur,Vedantu,Frontend Developer,E-commerce,Remote,3,695028,19786,29043.0,20183.0,1875689.0,37513,0.6477,578,1,11,1,79.0,0.0,50,26,2.18,0
33,Female,Bachelor,Saharanpur,Coda Global,Technical Lead,Banking,Hybrid,11,915357,23511,14130.0,16470.0,493560.0,9871,0.1294,539,3,24,1,56.0,22.0,50,25,3.29,0
42,Male,Master,Aurangabad,Cyient,Technical Lead,Startup,Remote,20,1471797,36293,107223.0,501199.0,1914201.0,38284,0.3121,617,2,37,3,35.0,13.0,25,30,3.77,0
48,Male,Master,Tiruppur,Swiggy,Frontend Developer,EdTech,Full-time,26,1847326,78389,25166.0,20149.0,,3544,0.023,730,4,53,1,112.0,10.0,100,33,4.21,0
27,Male,Master,Surat,eClerx,IT Consultant,Banking,Hybrid,6,739196,25304,112918.0,2804.0,887472.0,17749,0.2881,569,0,11,1,32.0,0.0,75,16,2.58,0
23,Male,Master,Surat,Persistent Systems,Solutions Architect,SaaS,Remote,3,459686,16190,430997.0,17269.0,1259033.0,25180,0.6573,474,1,10,4,91.0,0.0,75,26,1.54,0
47,Male,Bachelor,Indore,Freshworks,Network Engineer,Startup,Full-time,25,1555820,60997,78379.0,5298.0,0.0,0,0.0,633,2,49,4,119.0,7.0,25,0,3.91,0
54,Male,Master,Gwalior,PhonePe,Network Engineer,Consulting,Contract,34,2224364,59662,3052.0,1589.0,0.0,0,0.0,834,4,71,2,70.0,21.0,75,1,5.0,1
41,Female,Master,Salem,Postman,Director of Engineering,EdTech,Remote,19,1452585,47100,186610.0,4769.0,1445150.0,28903,0.2388,606,3,37,4,84.0,,0,29,3.32,0
31,Male,Bachelor,Tiruchirappalli,Kellton Tech,IT Consultant,Banking,Full-time,10,880550,38136,274705.0,6802.0,0.0,0,0.0,646,4,23,3,108.0,11.0,50,4,4.05,0
50,Male,Diploma,Ahmedabad,Druva,Director of Engineering,Manufacturing,Remote,30,2080051,56219,18722.0,30609.0,492146.0,9842,0.0568,712,3,61,3,113.0,17.0,50,13,5.0,1
54,Female,Diploma,Dhanbad,Mastek,IT Consultant,EdTech,Remote,30,1917333,61863,68639.0,26802.0,126089.0,2521,0.0158,661,3,61,3,109.0,9.0,0,36,4.45,1
33,Female,Diploma,Guwahati,GlobalLogic,IT Consultant,Banking,Contract,10,755064,22678,186098.0,12029.0,0.0,0,0.0,534,2,24,2,38.0,15.0,75,20,3.56,0
44,Male,Master,Delhi,Razorpay,ML Engineer,Startup,Contract,24,1794989,45377,67156.0,14043.0,1983489.0,39669,0.2652,733,7,45,0,12.0,21.0,0,26,4.17,1
28,Male,Master,Gurgaon,Tech Mahindra,Project Manager,EdTech,Contract,6,640276,27046,100023.0,3913.0,0.0,0,0.0,496,1,17,2,111.0,0.0,0,28,2.2,0
29,Female,Master,Loni,Zensar Technologies,Data Scientist,Startup,Contract,5,480730,14797,44040.0,25558.0,459798.0,9195,0.2295,616,4,14,3,88.0,0.0,25,10,3.56,0
50,Female,Bachelor,Jamshedpur,TCS,System Architect,Defense,Contract,28,1719186,45554,70436.0,30341.0,0.0,0,0.0,746,3,59,2,8.0,5.0,100,26,5.0,1
53,Male,Master,Mysuru,Vedantu,Business Analyst,Consulting,Contract,33,2239263,95881,46283.0,27802.0,0.0,0,0.0,695,5,64,8,46.0,8.0,75,6,5.0,1
34,Male,Diploma,Meerut,Cyient,Senior Software Engineer,SaaS,Remote,11,731305,31498,42300.0,1852.0,0.0,0,0.0,514,1,19,0,84.0,20.0,50,17,2.88,0
35,Female,Diploma,Malegaon,Mindtree,Mobile Developer,EdTech,Full-time,14,1202472,43141,29044.0,179237.0,627406.0,12548,0.1252,672,2,32,1,66.0,2.0,50,18,3.01,0
38,Male,Bachelor,Dhanbad,Firstsource,ML Engineer,Telecom,Remote,18,1244714,43069,874035.0,10635.0,0.0,0,0.0,704,2,36,2,115.0,19.0,50,26,4.31,1
46,Male,Bachelor,Bhopal,Mindtree,Project Manager,Defense,Contract,26,1792275,47698,391532.0,32197.0,800019.0,16000,0.1071,641,2,52,2,9.0,19.0,0,27,3.98,0
32,Male,Bachelor,Agra,Zetwerk,Frontend Developer,E-commerce,Hybrid,12,965184,42136,65497.0,39611.0,0.0,0,0.0,530,2,26,1,115.0,,75,7,3.42,0
45,Male,Master,Tiruppur,HCL Technologies,Technical Lead,E-commerce,Full-time,21,1635039,54580,23880.0,68542.0,0.0,0,0.0,640,6,39,2,53.0,,100,32,4.74,1
45,Male,Master,Ahmedabad,Intellect Design,Cloud Architect,HealthTech,Full-time,24,1755673,76481,22451.0,105111.0,0.0,0,0.0,715,4,48,3,103.0,23.0,50,37,5.0,1
32,Female,Diploma,Jalandhar,Nagarro India,Software Engineer,Startup,Hybrid,9,775512,23658,69007.0,22164.0,533569.0,10671,0.1651,652,4,16,0,17.0,24.0,50,10,3.91,0
33,Male,Bachelor,Kolkata,Wipro,Full Stack Developer,SaaS,Remote,12,1048539,44171,117818.0,,1027717.0,20554,0.2352,613,2,23,2,33.0,24.0,50,12,3.68,0
41,Male,Bachelor,Bhavnagar,Srijan Technologies,Business Analyst,SaaS,Full-time,21,1379137,51800,121030.0,90140.0,0.0,0,0.0,644,3,43,2,87.0,13.0,50,15,4.47,0
40,Male,Bachelor,Moradabad,Sasken,Senior Software Engineer,Telecom,Hybrid,20,1475213,54811,6418.0,85373.0,,0,0.0,738,3,37,2,7.0,,25,14,4.47,1
51,Male,PhD,Gorakhpur,Uniphore,Data Scientist,Manufacturing,Full-time,27,1922663,76963,1380109.0,14051.0,1087993.0,21759,0.1358,815,3,54,1,57.0,12.0,75,22,5.0,1
53,Male,Master,Navi Mumbai,Hexaware,Senior Data Scientist,Consulting,Remote,33,2143630,61374,152516.0,91339.0,85231.0,1704,0.0095,785,2,69,3,16.0,11.0,75,30,5.0,1
22,Male,Master,Jalgaon,Coforge,Test Automation Engineer,Consulting,Contract,0,419343,15734,538196.0,3490.0,371541.0,7430,0.2126,476,5,4,2,101.0,0.0,50,13,2.69,0
54,Female,Diploma,Amritsar,Apexon,Principal Engineer,Banking,Part-time,32,2001536,72405,92228.0,5233.0,1134524.0,22690,0.136,806,2,64,1,99.0,6.0,0,30,5.0,0
57,Female,Diploma,Ujjain,Intellect Design,Data Analyst,EdTech,Contract,35,2116096,83189,43947.0,68460.0,1192631.0,23852,0.1353,848,3,75,1,7.0,23.0,100,19,4.77,1
42,Male,Bachelor,Salem,Byju s,BI Developer,Startup,Full-time,22,1511727,59526,53375.0,6813.0,0.0,0,0.0,658,2,46,4,77.0,12.0,75,38,3.93,0
36,Female,Bachelor,Durgapur,Druva,Full Stack Developer,EdTech,Full-time,13,1020161,44950,118632.0,141913.0,0.0,0,0.0,578,6,31,0,47.0,,0,4,4.02,0
27,Female,Bachelor,Gwalior,IBM India,Network Engineer,HealthTech,Full-time,6,802169,34451,11021.0,16229.0,0.0,0,0.0,565,3,11,0,63.0,0.0,75,33,3.49,0
26,Male,Bachelor,Mysuru,Zoho,Technical Lead,E-commerce,Full-time,5,525803,17971,25049.0,614.0,588310.0,11766,0.2685,482,2,9,2,61.0,0.0,75,8,2.78,0
29,Male,Diploma,Nellore,Coda Global,Mobile Developer,FinTech,Contract,7,653155,29455,94543.0,3388.0,0.0,0,0.0,581,2,15,6,60.0,0.0,25,38,3.09,0
26,Female,Diploma,Jalandhar,WNS Global,Mobile Developer,Startup,Full-time,6,778445,29784,9409.0,94172.0,1874653.0,37493,0.578,543,6,14,1,8.0,,0,5,1.47,0
47,Female,Diploma,Salem,Ola,Senior Software Engineer,Consulting,Remote,25,1627333,51393,7898.0,12362.0,1530007.0,30600,0.2256,766,1,51,1,62.0,12.0,75,39,4.74,1
45,Male,Bachelor,Howrah,Robosoft,Director of Engineering,Defense,Hybrid,24,1702206,39888,89459.0,2983.0,926042.0,18520,0.1306,760,0,48,1,3.0,4.0,75,39,3.9,0
47,Male,Master,Allahabad,Kellton Tech,Senior Data Scientist,Telecom,Hybrid,23,1712650,73455,62113.0,2148.0,673703.0,13474,0.0944,652,3,50,0,57.0,14.0,100,0,4.3,0
40,Female,Diploma,Kanpur,Cybage,DevOps Engineer,Banking,Contract,16,1133103,44516,198050.0,46039.0,429860.0,8597,0.091,632,1,34,0,8.0,14.0,100,34,4.14,0
50,Male,Bachelor,Ajmer,Coforge,Database Administrator,EdTech,Contract,26,1806593,45285,38268.0,37804.0,1177768.0,23555,0.1565,704,5,55,2,75.0,9.0,75,27,4.63,0
28,Female,Bachelor,Gorakhpur,KPIT Technologies,ML Engineer,Manufacturing,Full-time,5,793031,34549,1316905.0,,0.0,0,0.0,600,5,14,2,29.0,0.0,100,36,3.68,0
45,Female,PhD,Dhanbad,Srijan Technologies,Principal Engineer,Startup,Full-time,22,1550742,70961,841223.0,13645.0,248549.0,4970,0.0385,677,2,49,2,62.0,11.0,50,5,5.0,1
39,Male,Bachelor,Ajmer,Ola,Mobile Developer,SaaS,Full-time,19,1398124,59472,528031.0,35563.0,1883792.0,37675,0.3234,699,3,35,1,53.0,18.0,50,35,3.63,0
35,Male,Master,Jamshedpur,Zetwerk,Product Manager,Defense,Full-time,11,1016956,36107,41646.0,107830.0,1864838.0,37296,0.4401,638,3,27,3,32.0,16.0,50,19,3.95,0
49,Male,Bachelor,Siliguri,Apexon,Software Engineer,SaaS,Contract,27,1711473,74767,94618.0,25279.0,1803580.0,36071,0.2529,783,2,59,4,46.0,9.0,75,4,4.26,0
27,Female,Diploma,Coimbatore,Newgen Software,Project Manager,Banking,Hybrid,3,341271,9552,114514.0,,0.0,0,0.0,465,3,5,2,14.0,0.0,75,0,2.76,0
46,Male,Master,Mysuru,Srijan Technologies,VP Engineering,Defense,Contract,25,1898285,79683,17961.0,4200.0,1397258.0,27945,0.1767,707,3,54,5,112.0,16.0,0,9,4.2,0
54,Female,Master,Loni,PhonePe,Scrum Master,Defense,Full-time,32,2200778,97877,57829.0,77831.0,0.0,0,0.0,832,5,69,2,19.0,2.0,75,24,5.0,1
48,Male,Bachelor,Vadodara,Chargebee,Data Analyst,FinTech,Remote,25,1780517,50794,46381.0,20657.0,1329472.0,26589,0.1792,674,5,50,0,90.0,13.0,75,9,4.88,0
35,Male,Master,Gulbarga,Wipro,BI Developer,HealthTech,Remote,11,872737,38978,6440.0,26772.0,1956439.0,39128,0.538,514,3,22,2,26.0,20.0,50,8,2.39,0
40,Male,Diploma,Gorakhpur,Zoho,IT Consultant,EdTech,Full-time,17,1146720,39623,24947.0,,1822410.0,36448,0.3814,661,2,31,2,4.0,24.0,75,14,3.08,0
29,Male,Diploma,Hyderabad,Intellect Design,AI Researcher,Manufacturing,Contract,6,616740,17138,31514.0,31399.0,0.0,0,0.0,485,0,15,1,12.0,0.0,75,31,2.74,0
49,Male,PhD,Navi Mumbai,Publicis Sapient,Network Engineer,Manufacturing,Full-time,28,1978806,75520,117002.0,,1372233.0,27444,0.1664,768,5,55,1,7.0,14.0,50,35,4.77,1
56,Male,Bachelor,Akola,Wipro,DevOps Engineer,EdTech,Full-time,33,2190245,96090,,25184.0,1557235.0,31144,0.1706,812,6,71,2,39.0,24.0,50,3,4.86,1
45,Female,Bachelor,Kanpur,Mastek,Data Scientist,Startup,Contract,24,1779567,55716,380999.0,2356.0,1754474.0,35089,0.2366,752,1,53,2,30.0,20.0,25,15,3.91,0
54,Male,Bachelor,Kalyan,PhonePe,Test Automation Engineer,Consulting,Full-time,34,2111080,74869,129036.0,64248.0,,35982,0.2045,777,2,70,1,59.0,7.0,50,39,5.0,0
51,Male,PhD,Solapur,Druva,Software Engineer,FinTech,Part-time,27,2054230,90213,62541.0,,484211.0,9684,0.0566,683,3,55,0,93.0,13.0,50,10,4.21,0
46,Female,Bachelor,Gwalior,Swiggy,IT Consultant,Banking,Full-time,23,1589716,54593,37827.0,5053.0,901015.0,18020,0.136,732,5,47,2,26.0,12.0,75,10,4.24,0
32,Male,Master,Akola,CRED,Project Manager,SaaS,Contract,12,995965,43664,43639.0,48481.0,1099004.0,21980,0.2648,603,4,24,0,76.0,10.0,0,8,3.12,0
24,Male,PhD,Raipur,Cognizant,Backend Developer,Government,Full-time,2,578422,25933,342470.0,53919.0,0.0,0,0.0,530,1,1,3,26.0,0.0,25,14,2.74,0
30,Female,Bachelor,Kolkata,Syntel India,Data Scientist,HealthTech,Full-time,7,636347,26811,112005.0,48492.0,1716802.0,34336,0.6475,521,3,13,2,77.0,0.0,100,10,1.66,0
47,Male,Master,Solapur,Syntel India,System Architect,EdTech,Contract,26,1869839,48153,409734.0,26636.0,391309.0,7826,0.0502,658,2,49,5,57.0,16.0,0,13,5.0,1
41,Male,PhD,Saharanpur,ThoughtWorks India,QA Engineer,Telecom,Hybrid,21,1643702,61242,153333.0,41845.0,0.0,0,0.0,689,4,40,4,76.0,17.0,50,7,3.78,0
52,Female,Bachelor,Hubballi,Xoriant,Project Manager,EdTech,Part-time,29,1783111,73647,20609.0,214155.0,0.0,0,0.0,749,2,63,1,63.0,16.0,75,5,4.85,1
56,Female,Master,Bhilai,Uniphore,Senior Software Engineer,SaaS,Remote,32,2208177,94422,169282.0,2072.0,1888652.0,37773,0.2053,770,3,69,1,91.0,19.0,100,4,4.91,1
22,Female,Bachelor,Vadodara,Ola,QA Engineer,FinTech,Remote,0,408627,18294,47157.0,,1470272.0,29405,0.8635,494,2,1,2,38.0,0.0,100,13,1.0,0
49,Female,Master,Ludhiana,Capgemini India,Frontend Developer,Government,Contract,27,1840814,65321,86791.0,19915.0,0.0,0,0.0,644,2,51,2,8.0,5.0,25,35,4.93,1
25,Male,Bachelor,Bhopal,GlobalLogic,Data Analyst,SaaS,Hybrid,1,331710,14182,129659.0,12327.0,894283.0,17885,0.647,525,1,7,1,102.0,0.0,25,15,1.37,0
54,Female,Master,Ujjain,Datamatics,Director of Engineering,Telecom,Contract,33,2202305,63792,208983.0,,1312720.0,26254,0.1431,838,2,66,2,54.0,3.0,0,10,4.57,0
47,Male,PhD,Bhiwandi,Sasken,BI Developer,Banking,Remote,24,1879556,77145,94021.0,13726.0,0.0,0,0.0,763,0,47,0,108.0,22.0,0,0,4.85,1
37,Female,Bachelor,Nashik,Nielsen India,Network Engineer,EdTech,Full-time,14,1051024,44622,126997.0,24550.0,536449.0,10728,0.1225,683,0,25,2,,21.0,0,35,3.84,0
41,Female,Bachelor,Patna,Net Solutions,Product Manager,SaaS,Hybrid,17,1194366,31000,33701.0,28053.0,192509.0,3850,0.0387,662,4,31,5,102.0,5.0,75,26,3.64,0
32,Male,Master,Salem,Xoriant,Principal Engineer,Banking,Remote,9,992105,35928,840001.0,18767.0,1340370.0,26807,0.3242,511,4,22,1,19.0,24.0,50,38,2.59,0
41,Non-binary,Bachelor,Surat,Coda Global,VP Engineering,Manufacturing,Full-time,21,1547011,66649,535075.0,3028.0,1775416.0,35508,0.2754,718,0,40,4,31.0,14.0,50,24,3.62,0
55,Female,Bachelor,Nanded,Postman,Engineering Manager,FinTech,Full-time,34,2141652,96985,251108.0,25455.0,0.0,0,0.0,785,5,72,2,118.0,5.0,50,29,4.85,1
30,Male,High School,Nashik,Mastek,Data Scientist,HealthTech,Remote,7,715310,28947,20595.0,247140.0,1267065.0,25341,0.4251,549,1,14,1,78.0,0.0,100,6,2.92,0
53,Female,Bachelor,Bhubaneswar,Robosoft,Business Analyst,Startup,Full-time,32,2040901,90123,78602.0,15049.0,0.0,0,0.0,817,3,64,0,16.0,9.0,50,21,5.0,1
47,Male,Bachelor,Akola,eClerx,System Architect,Consulting,Full-time,23,1535769,39790,72667.0,,1860990.0,37219,0.2908,629,0,50,3,14.0,23.0,50,20,4.18,1
